latitude,longitude,id_package,guide_ivoy,guide,valid_info,description,id_client
19.366061700000000000000000000000,-99.298193300000000000000000000000,1055786,002034182P001055786,08015201769900100038,2,"Paquete en almacen iVoy",78794
19.522183900000000000000000000000,-99.245330799999990000000000000000,1055787,002034184P001055787,08115195044400100038,2,"Paquete en almacen iVoy",78793
19.385083000000000000000000000000,-99.169477300000000000000000000000,1055788,002034187P001055788,08015201035500100038,2,"Paquete en almacen iVoy",78794
19.374668700000000000000000000000,-99.181023599999990000000000000000,1055789,002034189P001055789,08015182253400100033,2,"Paquete en almacen iVoy",78794
19.420009800000000000000000000000,-99.166311499999990000000000000000,1055790,002034186P001055790,08015195058600100036,2,"Paquete en almacen iVoy",78794
19.370386900000000000000000000000,-99.294086600000000000000000000000,1055791,002034185P001055791,08015201843000100034,2,"Paquete en almacen iVoy",78794
19.457739100000000000000000000000,-99.089500899999990000000000000000,1055792,002034190P001055792,08015195416900100031,2,"Paquete en almacen iVoy",78794
19.576097400000000000000000000000,-99.232787100000000000000000000000,1055793,002034188P001055793,08015201686900100038,2,"Paquete en almacen iVoy",78794
19.464799400000000000000000000000,-99.158287899999990000000000000000,1055794,002034191P001055794,08015200328200100035,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055795,001985062P001055795,08015168775100100033,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055796,002034192P001055796,08015202102100100030,1,"Paquete en almacen iVoy",78794
19.424133300000000000000000000000,-99.228184700000000000000000000000,1055797,002034193P001055797,08015175564000100034,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055798,002034194P001055798,08015201346900100031,1,"Paquete en almacen iVoy",78794
19.315739400000000000000000000000,-99.117322600000000000000000000000,1055799,002034195P001055799,08015202176600100036,2,"Paquete en almacen iVoy",78794
19.393831000000000000000000000000,-99.256582799999990000000000000000,1055801,002034196P001055801,08015201512800100031,2,"Paquete en almacen iVoy",78794
19.402277100000000000000000000000,-99.240823300000000000000000000000,1055803,002034198P001055803,08015202585600100036,2,"Paquete en almacen iVoy",78794
19.353629600000000000000000000000,-99.180026599999990000000000000000,1055804,002034199P001055804,08015212986300100031,2,"Paquete en almacen iVoy",78794
19.363288600000000000000000000000,-99.190125799999990000000000000000,1055806,001923378P001055806,08015196347400100032,2,"Paquete en almacen iVoy",78794
19.393664000000000000000000000000,-99.174597800000000000000000000000,1055807,002034200P001055807,39015193169300100010,2,"Paquete en almacen iVoy",128058
19.340114600000000000000000000000,-99.164639799999990000000000000000,1055808,002034202P001055808,08015202306200100031,2,"Paquete en almacen iVoy",78794
19.427511000000000000000000000000,-99.221041599999990000000000000000,1055809,002034203P001055809,08015198080200100038,2,"Paquete en almacen iVoy",78794
19.431265800000000000000000000000,-99.201695500000000000000000000000,1055810,002034206P001055810,08115175446300100037,2,"Paquete en almacen iVoy",78793
19.435258300000000000000000000000,-99.193879700000000000000000000000,1055811,002034204P001055811,08015201798300100034,2,"Paquete en almacen iVoy",78794
19.413862500000000000000000000000,-99.185937600000000000000000000000,1055812,002034205P001055812,08015193933300100031,2,"Paquete en almacen iVoy",78794
19.401191900000000000000000000000,-99.277237000000000000000000000000,1055813,001913489P001055813,08015202021600100039,2,"Paquete en almacen iVoy",78794
19.388483000000000000000000000000,-99.250436100000000000000000000000,1055815,002034207P001055815,08015201750900100036,2,"Paquete en almacen iVoy",78794
19.361220700000000000000000000000,-99.152496700000000000000000000000,1055816,001941632P001055816,08015195072700100031,2,"Paquete en almacen iVoy",78794
19.359486600000000000000000000000,-99.202278400000000000000000000000,1055817,002034210P001055817,08015200759900100030,2,"Paquete en almacen iVoy",78794
20.916952900000000000000000000000,-89.947680600000000000000000000000,1055818,002034208P001055818,08015196596800100030,2,"Paquete en almacen iVoy",78794
19.415293200000000000000000000000,-99.160309700000000000000000000000,1055819,002034211P001055819,08015202138700100033,2,"Paquete en almacen iVoy",78794
19.303412600000000000000000000000,-99.231136200000000000000000000000,1055820,002034209P001055820,08015201043000100038,2,"Paquete en almacen iVoy",78794
19.387088200000000000000000000000,-99.251509700000010000000000000000,1055821,002034212P001055821,08015201385500100034,2,"Paquete en almacen iVoy",78794
19.354773000000000000000000000000,-99.270100300000000000000000000000,1055822,002034215P001055822,39015208305500100011,2,"Paquete en almacen iVoy",128058
19.429876900000000000000000000000,-99.155941099999990000000000000000,1055823,002034217P001055823,08015213272500100032,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055825,002034216P001055825,39015188881400100018,1,"Paquete en almacen iVoy",128058
19.435305200000000000000000000000,-99.198144399999990000000000000000,1055826,002034213P001055826,08015202428600100036,2,"Paquete en almacen iVoy",78794
19.356197700000000000000000000000,-99.128807500000000000000000000000,1055827,002034221P001055827,08015202591900100034,2,"Paquete en almacen iVoy",78794
19.413992300000000000000000000000,-99.138697200000000000000000000000,1055828,002034219P001055828,39015201827500100015,2,"Paquete en almacen iVoy",128058
19.410054100000000000000000000000,-99.271826400000000000000000000000,1055829,002034220P001055829,08015201659400100037,2,"Paquete en almacen iVoy",78794
19.356162200000000000000000000000,-99.257656400000000000000000000000,1055830,002034218P001055830,07915113500500100031,2,"Paquete en almacen iVoy",78792
0.000000000000000000000000000000,0.000000000000000000000000000000,1055831,002034222P001055831,07915148468700100038,1,"Paquete en almacen iVoy",78792
19.451304500000000000000000000000,-99.216317699999990000000000000000,1055833,002034223P001055833,07915113065700100033,2,"Paquete en almacen iVoy",78792
19.374697700000000000000000000000,-99.163410500000000000000000000000,1055834,002034224P001055834,08015202323800100032,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055835,002034225P001055835,07915148452800100036,1,"Paquete en almacen iVoy",78792
